title,tomatometer,reviewCount
Jessica Darling's It List,N/A,N/A
Jinxed,N/A,N/A
Joseph: King of Dreams,N/A,N/A
Judy Moody and the Not Bummer Summer,20%,80
Kahlil Gibran's The Prophet,66%,70
Kevin Hart's Guide to Black History,N/A,N/A
Kids on the Block,N/A,N/A
Klaus,92%,53
Krish Trish and Baltiboy,N/A,N/A
Krish Trish and Baltiboy: Battle of Wits,N/A,N/A
Krish Trish and Baltiboy: Best Friends Forever,N/A,N/A
Krish Trish and Baltiboy: Comics of India,N/A,N/A
Krish Trish and Baltiboy: Face Your Fears,N/A,N/A
Krish Trish and Baltiboy: Oversmartness Never Pays,N/A,N/A
Krish Trish and Baltiboy: Part II,N/A,N/A
Krish Trish and Baltiboy: The Greatest Trick,N/A,N/A
Kung Fu Magoo,N/A,N/A
Kung Fu Panda: Holiday,N/A,N/A
Kung Fu Panda: Secrets of the Scroll,N/A,N/A
Leap!,40%,60
LEGENDS OF THE HIDDEN TEMPLE,N/A,N/A
LEGO Jurassic World: The Indominus Escape,N/A,N/A
LEGO Marvel Super Heroes: Avengers Reassembled!,N/A,N/A
LEGO Marvel Super Heroes: Black Panther,N/A,N/A
LEGO Marvel Super Heroes: Guardians of the Galaxy,N/A,N/A
LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,N/A,N/A
LEGO: Marvel Super Heroes: Maximum Overload,N/A,N/A
Leo the Lion,N/A,N/A
"Liar, Liar, Vampire",N/A,N/A
Little Baby Bum: Go Buster,N/A,N/A
Little Lunch: The Halloween Horror Story,N/A,N/A
Little Lunch: The Nightmare Before Graduation,N/A,N/A
Little Monsters,50%,8
Little Singham - Rise of Kaal,N/A,N/A
Little Singham Bandarpur Mein Hu Ha Hu,N/A,N/A
Little Singham in London,N/A,N/A
Little Singham: Kaal Ki Tabaahi,N/A,N/A
Little Singham: Mahabali,N/A,N/A
Luccas Neto in: Summer Camp,N/A,N/A
Magic Snowflake,N/A,N/A
Magnus,N/A,N/A
Malibu Rescue,N/A,N/A
Mariah Carey's Merriest Christmas,N/A,N/A
Marvel Super Hero Adventures: Frost Fight!,N/A,N/A
Marvel's Hulk: Where Monsters Dwell,N/A,N/A
Mary Poppins Returns,79%,354
Mi amigo Alexis,N/A,N/A
